Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
25,83500,100,716,N,5091,7416,303000,303000,0.686489,Pay-off,non-default,MD,"56,763",0
37,172000,80,681,N,720,3000,80000,78900,0.24,Pay-off,non-default,FL,"40,171",1
55,121600,95,632,N,4253,10291,226500,229500,0.413274,Active,non-default,TX,"41,275",0
39,63400,100,665,Y,0,6375,313000,330000,0,Pay-off,non-default,CA,"49,894",0
37,120000,75,708,Y,1041,3641,160000,155000,0.28591,Pay-off,non-default,CA,"49,894",0
25,154280,102,724,N,1015,3365,198000,196705,0.301634,Pay-off,non-default,CO,"51,022",0
27,145000,88,651,N,1272,4080,73000,74900,0.311765,Active,non-default,CT,"55,970",1
55,108500,100,764,N,719,3533,76000,75000,0.20351,Default,default,TN,"38,550",1
25,103500,100,701,N,2184,7495,268000,268000,0.291394,Pay-off,non-default,CA,"49,894",0
35,180000,100,690,N,1177,6956,181000,180000,0.169206,Pay-off,non-default,CA,"49,894",0
31,179950,80,625,N,1173,4266,187000,186900,0.274965,Pay-off,non-default,GA,"43,217",0
33,115000,100,734,N,2864,5537,284000,283000,0.517248,Pay-off,non-default,MO,"43,988",0
48,160650,90,568,Y,1054,2593,141000,138000,0.406479,Pay-off,non-default,MO,"43,988",1
37,29700,90,623,N,4450,9300,173000,170000,0.478495,Active,non-default,TX,"41,275",0
34,87750,90,669,N,2506,7279,122000,122000,0.344278,Active,non-default,MD,"56,763",0
53,286700,90,691,Y,4513,5025,340000,336600,0.898166,Active,non-default,GA,"43,217",0
25,170400,80,784,N,877,3154,130000,120355,0.27806,Active,non-default,OR,"42,617",1
25,58900,95,642,N,2796,6412,217000,209000,0.436057,Pay-off,non-default,VA,"53,275",0
31,97500,100,724,N,2444,6451,170000,170000,0.378856,Pay-off,non-default,CA,"49,894",0
36,198100,100,692,N,2212,5531,133000,128200,0.399928,Active,non-default,TN,"38,550",1
59,190800,90,767,N,6245,10042,280000,274950,0.621888,Active,non-default,WA,"48,688",0
34,260000,100,762,N,1348,3270,133900,133900,0.412232,Pay-off,non-default,IL,"45,787",1
28,87000,100,574,Y,1984,3759,187500,187500,0.5278,Pay-off,non-default,VA,"53,275",0
50,193500,90,645,N,3195,5025,152000,149230,0.635861,Pay-off,non-default,TX,"41,275",1
22,92000,100,766,Y,2774,7561,231000,229000,0.366883,Pay-off,non-default,CT,"55,970",0
36,232750,95,681,N,1060,1907,127000,124000,0.555847,Active,non-default,FL,"40,171",1
40,140000,60,900,N,831,3333,119000,105000,0.249325,Pay-off,non-default,MD,"56,763",1
35,170000,88,662,Y,1810,3084,140000,139747,0.5869,Active,non-default,NC,"39,000",1
32,110000,100,727,Y,2190,5918,130000,125665,0.370057,Active,non-default,TX,"41,275",0
21,116000,100,546,N,1581,3345,136000,130400,0.472646,Active,non-default,NC,"39,000",0
28,86275,102,682,Y,3006,5409,251000,245000,0.55574,Pay-off,non-default,NV,"46,984",0
32,99000,100,630,Y,1802,3800,138000,129900,0.474211,Pay-off,non-default,UT,"50,614",0
44,169950,95,645,Y,1411,3612,145000,144330,0.390642,Active,non-default,GA,"43,217",1
36,151200,100,688,N,1342,3624,123000,123000,0.370309,Active,non-default,FL,"40,171",1
26,213750,95,785,N,895,2500,138000,138000,0.358,Pay-off,non-default,MT,"35,201",1
52,181800,90,690,N,771,1705,140000,134000,0.452199,Active,non-default,WA,"48,688",1
23,107590,102,703,N,3040,5354,365000,364950,0.5678,Active,non-default,WA,"48,688",0
37,101700,90,680,N,1928,7824,157000,144000,0.246421,Active,non-default,TN,"38,550",0
31,140400,90,696,N,2435,5435,242000,240000,0.448022,Active,non-default,OH,"44,160",0
56,140000,80,785,N,1740,10208,415000,411370,0.170455,Active,non-default,PA,"44,286",0
28,136400,95,751,N,1389,5881,165000,165000,0.236184,Pay-off,non-default,CA,"49,894",0
24,144400,95,727,N,845,2753,126000,126000,0.306938,Active,non-default,MI,"44,476",1
37,123500,95,744,N,1405,5212,159000,157500,0.26957,Active,non-default,SC,"39,326",0
24,56000,100,660,Y,6057,8147,204000,188000,0.743464,Active,non-default,TX,"41,275",0
29,274000,95,676,N,2243,5025,254500,254481,0.446396,Pay-off,non-default,PA,"44,286",1
30,101200,100,608,N,1598,4568,184000,183801,0.349825,Active,non-default,NV,"46,984",0
40,109710,90,666,Y,1563,6468,170000,164473,0.241651,Active,non-default,SC,"39,326",0
37,155000,80,722,N,3324,5025,214000,208000,0.661534,Pay-off,non-default,CO,"51,022",0
38,160000,100,524,Y,2523,3623,231000,229320,0.696384,Pay-off,non-default,CA,"49,894",0
35,123000,100,614,Y,1982,7107,148000,135000,0.27888,Active,non-default,LA,"35,523",0
38,111000,98,691,N,1281,6435,179000,175000,0.199068,Pay-off,non-default,FL,"40,171",0
32,111453,97,695,N,1606,5000,211000,211000,0.3212,Active,non-default,CO,"51,022",0
31,147175,102,800,N,1656,4855,235000,232500,0.341092,Pay-off,non-default,UT,"50,614",0
34,301950,85,698,N,0,5025,223000,200000,0,Pay-off,non-default,NJ,"56,772",1
36,184416,85,683,Y,1147,2600,68000,62000,0.441154,Active,non-default,MI,"44,476",1
32,190500,99,672,N,873,5025,104000,103500,0.173742,Pay-off,non-default,FL,"40,171",1
29,191175,102,788,N,1731,2786,131000,130715,0.621321,Active,non-default,AZ,"42,590",1
28,230000,100,743,Y,1285,2400,135000,135000,0.535417,Active,non-default,CA,"49,894",1
48,135900,80,685,N,0,10722,345000,344985,0,Active,non-default,PA,"44,286",0
36,172800,80,673,N,1694,2873,124000,120750,0.589628,Active,non-default,GA,"43,217",1
37,176400,90,750,N,2205,9583,271000,267500,0.230095,Pay-off,non-default,MN,"55,914",0
37,68500,100,606,Y,1230,4727,138000,137400,0.260207,Active,non-default,FL,"40,171",0
25,113000,88,652,N,2938,21000,270500,270630,0.139905,Active,non-default,NV,"46,984",0
24,100751,85,655,N,1586,6582,180000,179900,0.24096,Pay-off,non-default,NY,"44,228",0
73,111500,100,789,N,2783,8227,420000,409000,0.338276,Active,non-default,CA,"49,894",0
45,171000,95,737,Y,2386,5297,198000,194400,0.450444,Active,non-default,GA,"43,217",0
26,259000,100,737,N,1054,1870,168000,167156,0.563636,Active,non-default,GA,"43,217",1
21,114136,100,642,Y,1487,3712,127000,126000,0.400593,Active,non-default,FL,"40,171",0
37,171000,100,628,Y,1598,5279,124000,123800,0.302709,Pay-off,non-default,FL,"40,171",1
35,215910,90,555,Y,2819,4364,285000,250000,0.645967,Pay-off,non-default,CA,"49,894",0
47,89000,100,678,N,2536,3562,171000,171000,0.71196,Pay-off,non-default,ID,"42,519",0
37,156750,95,686,N,944,1700,66000,65500,0.555294,Pay-off,non-default,AL,"38,111",1
37,160110,90,771,Y,2303,2821,153000,147500,0.816377,Active,non-default,MN,"55,914",1
37,189050,95,781,N,1199,3000,148000,147500,0.399667,Pay-off,non-default,AZ,"42,590",1
33,107488,102,733,N,1247,3417,180000,180000,0.36494,Pay-off,non-default,PA,"44,286",0
37,119000,100,784,Y,1828,5833,193000,190000,0.313389,Active,non-default,VA,"53,275",0
35,83216,95,701,N,2865,5787,143000,142680,0.495075,Pay-off,non-default,GA,"43,217",0
40,140000,100,627,N,4332,7876,67000,64500,0.550025,Pay-off,non-default,TX,"41,275",1
47,130000,77,762,N,1989,5025,210000,197000,0.395846,Pay-off,non-default,MI,"44,476",0
37,102000,80,725,Y,2607,9300,252000,251480,0.280323,Active,non-default,VA,"53,275",0
31,74900,100,737,N,1600,4919,81000,80000,0.325269,Active,non-default,MD,"56,763",0
29,141117,95,771,N,1203,4650,155000,151500,0.25871,Active,non-default,WI,"47,220",0
44,173850,95,661,N,2094,3073,141000,140000,0.681419,Pay-off,non-default,TN,"38,550",1
37,225000,98,642,N,2427,5025,145000,145000,0.483016,Pay-off,non-default,GA,"43,217",1
53,66000,100,776,N,1352,3167,146000,126500,0.426902,Active,non-default,MD,"56,763",0
40,292000,98,728,N,2094,3506,220000,219381,0.597262,Pay-off,non-default,FL,"40,171",1
55,125800,97,813,N,630,3327,99000,99000,0.18936,Pay-off,non-default,VA,"53,275",1
35,226500,99,556,Y,1610,3275,130000,130000,0.491603,Pay-off,non-default,MD,"56,763",1
43,279000,90,560,N,1316,2944,90500,90000,0.447011,Active,non-default,MO,"43,988",1
26,111000,100,671,N,1133,5233,85500,81500,0.216511,Active,non-default,AL,"38,111",1
42,147050,100,597,Y,1461,3685,174000,173695,0.396472,Active,non-default,GA,"43,217",0
37,171000,100,693,N,2918,4926,230000,226815,0.592367,Pay-off,non-default,NM,"37,587",0
26,157000,100,782,N,992,3077,138000,135000,0.322392,Active,non-default,FL,"40,171",1
37,90000,88,762,N,1314,5000,257000,257000,0.2628,Pay-off,non-default,CA,"49,894",0
40,186400,90,702,N,0,5025,195000,194000,0,Pay-off,non-default,FL,"40,171",0
32,123200,100,696,N,2659,6271,207000,207000,0.424015,Pay-off,non-default,WA,"48,688",0
34,174600,90,558,Y,873,2108,86000,75000,0.414137,Pay-off,non-default,AL,"38,111",1
37,124500,96,650,Y,2209,3947,239000,239000,0.559666,Pay-off,non-default,CA,"49,894",0
29,97750,95,770,N,880,2283,90000,89900,0.385458,Active,non-default,FL,"40,171",1
37,160000,80,602,Y,1120,2322,100000,99400,0.482343,Default,default,FL,"40,171",1
26,121000,100,737,N,2610,6337,257000,249951,0.411867,Pay-off,non-default,WA,"48,688",0
31,118030,97,745,N,2646,6563,255000,253815,0.403169,Active,non-default,CA,"49,894",0
37,242450,95,787,N,2757,8596,210000,205000,0.320731,Active,non-default,MD,"56,763",1
31,167000,100,630,N,1272,3637,102000,101900,0.349739,Pay-off,non-default,TX,"41,275",1
37,135200,80,600,Y,1115,2900,137000,133900,0.384483,Pay-off,non-default,GA,"43,217",0
65,60300,95,758,N,3397,7990,380000,379990,0.425156,Pay-off,non-default,CA,"49,894",0
37,95000,100,618,Y,1959,4350,80000,80000,0.450345,Pay-off,non-default,TX,"41,275",1
37,89000,100,674,N,1399,5200,149000,149000,0.269038,Default,default,OH,"44,160",0
54,116400,97,704,N,1674,3500,160000,160000,0.478286,Pay-off,non-default,FL,"40,171",0
42,159900,89,720,N,1249,2899,60000,55001,0.430838,Default,default,PA,"44,286",1
39,217500,100,733,N,689,4400,109000,109000,0.156591,Active,non-default,NC,"39,000",1
36,399200,80,658,N,739,5025,92000,92000,0.147074,Active,non-default,FL,"40,171",1
28,161990,100,676,N,1111,2409,118531,120057,0.461187,Active,non-default,GA,"43,217",1
37,137000,100,723,N,701,4500,144000,144000,0.155778,Active,non-default,VA,"53,275",0
37,210000,100,709,N,2208,3718,203000,203000,0.593868,Pay-off,non-default,MI,"44,476",1
37,209900,100,525,Y,2956,4336,167000,166100,0.681734,Pay-off,non-default,FL,"40,171",1
35,23150,97,761,Y,1993,8459,143000,143000,0.235607,Active,non-default,AR,"33,948",0
36,220000,80,662,N,2614,5025,268500,268500,0.520232,Pay-off,non-default,NY,"44,228",0
23,104150,95,708,Y,2973,8100,166000,166000,0.367037,Active,non-default,LA,"35,523",0
61,205000,90,688,Y,1521,2904,108000,105000,0.52376,Active,non-default,FL,"40,171",1
34,133600,97,751,N,1353,4500,179000,178390,0.300667,Active,non-default,MO,"43,988",0
28,218750,88,739,N,2377,3757,317000,316000,0.632686,Active,non-default,IL,"45,787",0
37,144150,95,685,Y,2250,2433,109500,107800,0.924784,Active,non-default,FL,"40,171",1
31,223155,95,700,N,889,2871,58000,55000,0.309648,Active,non-default,FL,"40,171",1
56,73477,97,740,N,1378,3750,58000,58000,0.367467,Pay-off,non-default,MS,"33,659",1
48,113204,80,605,N,1774,4248,217000,215501,0.417608,Pay-off,non-default,CA,"49,894",0
25,153500,97,622,N,0,2500,64000,64000,0,Pay-off,non-default,VA,"53,275",1
34,227500,90,705,Y,1864,3253,110000,60000,0.57301,Pay-off,non-default,NV,"46,984",1
36,96400,95,678,N,1643,6200,169500,160100,0.265,Default,default,TX,"41,275",0
34,117500,100,551,N,1601,3192,140000,139624,0.501566,Active,non-default,GA,"43,217",0
28,160000,100,678,N,2087,4602,148000,148000,0.453498,Pay-off,non-default,VA,"53,275",1
52,207200,80,662,N,1308,2253,77500,75000,0.580559,Pay-off,non-default,FL,"40,171",1
37,160000,80,772,N,1645,9000,220000,220000,0.182778,Pay-off,non-default,CO,"51,022",0
28,165900,98,580,N,1172,2630,125000,123990,0.445627,Active,non-default,NC,"39,000",1
28,152500,97,597,Y,2049,4098,127000,124000,0.5,Active,non-default,GA,"43,217",1
29,175410,95,698,N,1311,2600,110000,105000,0.504231,Pay-off,non-default,IL,"45,787",1
48,76000,95,729,Y,2853,6500,215000,215000,0.438923,Pay-off,non-default,NJ,"56,772",0
79,100636,97,789,N,2428,7291,250000,248000,0.333013,Pay-off,non-default,CO,"51,022",0
21,93000,100,765,Y,3048,8115,179000,178055,0.375601,Pay-off,non-default,MD,"56,763",0
27,135900,100,722,N,3226,6567,240000,235000,0.491244,Pay-off,non-default,FL,"40,171",0
37,312000,80,708,N,859,5025,130000,129500,0.170956,Pay-off,non-default,CA,"49,894",1
37,150000,100,653,Y,959,2253,92000,92000,0.425655,Pay-off,non-default,TX,"41,275",1
37,98800,100,745,N,1675,6500,255000,255000,0.257692,Pay-off,non-default,CA,"49,894",0
50,124450,95,704,N,2493,6547,175000,174900,0.380785,Active,non-default,WA,"48,688",0
37,360000,80,715,N,1634,8700,266000,266000,0.187816,Pay-off,non-default,MD,"56,763",1
28,89500,78,558,Y,968,4069,114500,114500,0.237896,Pay-off,non-default,FL,"40,171",0
50,167200,95,799,N,0,3000,70000,70000,0,Active,non-default,FL,"40,171",1
37,108810,90,631,N,1085,4819,140000,138800,0.22515,Pay-off,non-default,WI,"47,220",0
37,91440,80,781,N,2105,8629,277000,277000,0.243945,Active,non-default,GA,"43,217",0
22,113500,100,738,N,1584,5833,132000,130400,0.271558,Active,non-default,SC,"39,326",0
37,164500,100,725,N,1084,4336,160000,159900,0.25,Pay-off,non-default,DE,"50,152",1
37,206000,100,776,N,2211,3858,135000,132000,0.573095,Active,non-default,WA,"48,688",1
52,83000,100,676,N,1288,4602,169000,168500,0.279878,Pay-off,non-default,WI,"47,220",0
51,152000,95,718,N,1264,2786,210000,208000,0.453697,Active,non-default,OR,"42,617",0
37,121000,91,754,Y,1598,3300,175000,174900,0.484242,Pay-off,non-default,MD,"56,763",0
35,118400,100,694,N,3436,7930,215000,210000,0.433291,Active,non-default,FL,"40,171",0
27,111350,97,689,N,2056,5636,112000,110500,0.364798,Pay-off,non-default,LA,"35,523",0
41,88000,80,759,Y,2975,5721,284000,275018,0.520014,Active,non-default,FL,"40,171",0
47,120000,100,675,Y,2922,6333,175000,173000,0.461393,Active,non-default,FL,"40,171",0
56,310000,74,748,N,0,5025,265000,255236,0,Pay-off,non-default,FL,"40,171",1
45,66600,90,643,N,0,5025,122000,122000,0,Pay-off,non-default,MD,"56,763",0
35,155128,100,685,N,964,4000,83000,83000,0.241,Pay-off,non-default,FL,"40,171",1
26,172300,100,679,N,1379,2938,103000,103000,0.469367,Pay-off,non-default,ID,"42,519",1
44,108000,90,571,Y,1754,5751,96000,94000,0.30499,Active,non-default,AR,"33,948",1
24,126600,85,653,N,2835,5072,257500,257500,0.558951,Active,non-default,TX,"41,275",0
52,103100,89,637,N,1308,4761,148000,145000,0.274732,Pay-off,non-default,WA,"48,688",0
35,283500,90,702,Y,0,5025,196000,186000,0,Pay-off,non-default,CT,"55,970",1
29,264195,95,614,N,1575,2600,144000,143000,0.605769,Pay-off,non-default,OH,"44,160",1
37,178500,55,763,N,1775,5416,97800,97500,0.327733,Active,non-default,MO,"43,988",1
37,168500,100,713,N,617,1863,61000,55000,0.331186,Active,non-default,NC,"39,000",1
53,136000,100,661,N,1252,5644,152000,136000,0.221828,Active,non-default,SC,"39,326",0
41,149400,100,788,N,1218,3650,155000,152000,0.333699,Active,non-default,CA,"49,894",0
37,269900,100,784,N,869,2500,111000,111000,0.3476,Pay-off,non-default,AZ,"42,590",1
43,219200,80,745,Y,0,5025,80000,60000,0,Pay-off,non-default,CA,"49,894",1
54,145000,94,756,N,1713,4042,156000,152400,0.4238,Active,non-default,NC,"39,000",0
40,103500,90,559,N,1327,3750,128067,128067,0.353867,Active,non-default,GA,"43,217",0
24,165000,100,626,N,1286,2425,141000,140553,0.530309,Active,non-default,FL,"40,171",1
34,139950,100,762,N,2140,5653,165000,165000,0.37856,Active,non-default,DC,"43,003",0
35,75000,100,642,N,0,6700,245000,245000,0,Pay-off,non-default,CA,"49,894",0
56,117900,98,690,N,2521,5522,163000,162900,0.456537,Active,non-default,TN,"38,550",0
31,160000,100,733,N,456,2383,61000,61000,0.191355,Active,non-default,NC,"39,000",1
30,135920,80,636,N,1036,3020,135000,135000,0.343046,Active,non-default,GA,"43,217",1
33,66500,100,660,Y,2289,7047,172000,164990,0.324819,Pay-off,non-default,TX,"41,275",0
32,159500,100,679,N,1293,3157,100000,100000,0.409566,Pay-off,non-default,IL,"45,787",1
33,95200,80,627,N,1259,3441,128000,127194,0.365882,Pay-off,non-default,AZ,"42,590",0
37,284000,80,768,N,1088,2528,117100,117100,0.43038,Pay-off,non-default,NV,"46,984",1
25,176711,102,747,N,763,2505,56000,56000,0.304591,Active,non-default,AR,"33,948",1
58,165000,78,670,N,3126,5025,152000,152000,0.622129,Active,non-default,NC,"39,000",1
28,133201,102,727,N,818,3199,95500,95500,0.255705,Pay-off,non-default,ID,"42,519",1
34,179850,100,698,N,1568,4302,160400,159000,0.364482,Pay-off,non-default,NM,"37,587",1
37,72000,100,537,Y,1204,5500,165000,163750,0.218909,Pay-off,non-default,NC,"39,000",0
37,320000,80,781,Y,1278,5025,150000,144500,0.254344,Pay-off,non-default,CA,"49,894",1
30,184050,100,645,N,401,1734,75347,75347,0.231257,Pay-off,non-default,MO,"43,988",1
50,80000,87,742,N,2206,4711,127500,123000,0.468266,Active,non-default,FL,"40,171",0
27,183600,85,702,N,1544,5007,217000,209000,0.308368,Active,non-default,MI,"44,476",0
32,126600,97,684,N,1504,4618,101000,98500,0.325682,Active,non-default,MO,"43,988",1
37,248000,80,704,N,0,5025,93000,91000,0,Pay-off,non-default,SD,"40,518",1
43,41225,97,766,N,4107,6484,340000,320000,0.633405,Active,non-default,CA,"49,894",0
45,269550,80,648,N,0,5025,120000,116000,0,Pay-off,non-default,NJ,"56,772",1
37,129600,80,787,N,3554,9419,325000,325000,0.377322,Active,non-default,CA,"49,894",0
36,159000,100,686,Y,1776,4025,95000,95000,0.441242,Active,non-default,TX,"41,275",1
38,148500,90,684,N,2054,12080,305000,148500,0.170033,Pay-off,non-default,CA,"49,894",0
35,157680,99,730,N,2064,4643,144000,143500,0.44454,Active,non-default,GA,"43,217",1
75,229500,90,662,N,850,2200,80000,76000,0.386364,Pay-off,non-default,NM,"37,587",1
37,40000,100,655,N,3076,6926,180000,179252,0.444124,Active,non-default,GA,"43,217",0
34,126367,102,700,N,2249,5618,154000,153000,0.40032,Active,non-default,MI,"44,476",0
37,256025,95,583,Y,978,3041,110000,110000,0.321605,Active,non-default,IL,"45,787",1
27,152000,95,741,N,956,4543,235000,152000,0.210434,Active,non-default,NY,"44,228",0
37,105000,100,741,N,1843,3880,230000,229000,0.475,Pay-off,non-default,IL,"45,787",0
37,131850,90,553,N,1127,2976,101000,99675,0.378696,Active,non-default,GA,"43,217",1
27,225400,98,644,N,0,5025,140000,139070,0,Active,non-default,MI,"44,476",1
43,63500,100,701,N,1324,5950,231000,231000,0.222521,Active,non-default,CA,"49,894",0
34,83000,100,621,Y,0,7744,202000,200000,0,Pay-off,non-default,SC,"39,326",0
29,133000,95,675,N,3145,5718,215000,215000,0.550017,Pay-off,non-default,FL,"40,171",0
32,207060,102,660,N,546,1820,65500,65500,0.3,Active,non-default,SC,"39,326",1
20,64800,100,765,Y,3581,7352,246000,235523,0.487078,Pay-off,non-default,GA,"43,217",0
35,322700,92,731,Y,1609,2333,96000,96000,0.68967,Active,non-default,FL,"40,171",1
31,129900,99,693,N,1821,5877,200000,199900,0.309852,Active,non-default,NV,"46,984",0
25,66445,97,635,Y,1649,4008,100000,94250,0.411427,Active,non-default,GA,"43,217",0
37,280000,80,629,N,3058,9752,187000,177900,0.313577,Pay-off,non-default,TX,"41,275",1
